"Year","Month","CardioTot","CardioED","HypoTot","HypoED","RespTot","RespED","Admissions","AllCases","MonthNr","Hospital"
1999,"Nov",4,3,0,0,0,0,1189,4,-1,"Oxford Radcliffe"
1999,"Dec",8,5,0,0,0,0,1378,8,0,"Oxford Radcliffe"
2000,"Jan",7,2,0,0,1,1,1185,8,1,"Oxford Radcliffe"
2000,"Feb",5,3,0,0,1,0,1139,6,2,"Oxford Radcliffe"
2000,"Mar",7,2,0,0,0,0,1215,7,3,"Oxford Radcliffe"
2000,"Apr",2,0,1,1,0,0,1187,3,4,"Oxford Radcliffe"
2000,"May",12,8,0,0,0,0,1291,12,5,"Oxford Radcliffe"
2000,"Jun",7,3,1,1,1,1,1239,9,6,"Oxford Radcliffe"
2000,"Jul",8,2,0,0,1,1,1356,9,7,"Oxford Radcliffe"
2000,"Aug",12,5,0,0,0,0,1346,12,8,"Oxford Radcliffe"
2000,"Sep",6,2,1,1,1,1,1243,8,9,"Oxford Radcliffe"
2000,"Oct",6,2,0,0,4,3,1351,10,10,"Oxford Radcliffe"
2000,"Nov",4,1,0,0,1,0,1329,5,11,"Oxford Radcliffe"
2000,"Dec",10,4,0,0,0,0,1363,10,12,"Oxford Radcliffe"
2001,"Jan",6,3,1,0,2,1,1433,9,13,"Oxford Radcliffe"
2001,"Feb",3,0,0,0,0,0,1276,3,14,"Oxford Radcliffe"
2001,"Mar",9,7,0,0,0,0,1377,9,15,"Oxford Radcliffe"
2001,"Apr",6,4,2,1,0,0,1340,8,16,"Oxford Radcliffe"
2001,"May",5,1,0,0,1,0,1409,6,17,"Oxford Radcliffe"
2001,"Jun",3,1,0,0,1,1,1398,4,18,"Oxford Radcliffe"
2001,"Jul",6,3,2,2,0,0,1412,8,19,"Oxford Radcliffe"
2001,"Aug",4,1,1,1,1,0,1384,6,20,"Oxford Radcliffe"
2001,"Sep",5,0,0,0,0,0,1451,5,21,"Oxford Radcliffe"
2001,"Oct",2,2,0,0,2,0,1494,4,22,"Oxford Radcliffe"
2001,"Nov",7,2,1,0,3,2,1453,11,23,"Oxford Radcliffe"
2001,"Dec",8,3,0,0,1,1,1597,9,24,"Oxford Radcliffe"
2002,"Jan",4,2,0,0,1,1,1534,5,25,"Oxford Radcliffe"
2002,"Feb",7,2,0,0,0,0,1409,7,26,"Oxford Radcliffe"
2002,"Mar",6,3,0,0,0,0,1503,6,27,"Oxford Radcliffe"
2002,"Apr",4,3,1,0,0,0,1371,5,28,"Oxford Radcliffe"
2002,"May",3,2,1,0,0,0,1413,4,29,"Oxford Radcliffe"
2002,"Jun",2,2,0,0,0,0,1371,2,30,"Oxford Radcliffe"
2002,"Jul",6,0,0,0,1,1,1489,7,31,"Oxford Radcliffe"
2002,"Aug",7,5,0,0,0,0,1328,7,32,"Oxford Radcliffe"
2002,"Sep",10,7,0,0,0,0,1329,10,33,"Oxford Radcliffe"
2002,"Oct",2,1,1,1,0,0,1408,3,34,"Oxford Radcliffe"
2002,"Nov",8,5,0,0,2,2,1269,10,35,"Oxford Radcliffe"
2002,"Dec",9,6,1,1,1,1,1442,11,36,"Oxford Radcliffe"
2003,"Jan",5,1,0,0,0,0,1401,5,37,"Oxford Radcliffe"
2003,"Feb",6,2,0,0,1,1,1397,7,38,"Oxford Radcliffe"
2003,"Mar",7,4,1,1,1,0,1555,9,39,"Oxford Radcliffe"
2003,"Apr",9,4,0,0,0,0,1463,9,40,"Oxford Radcliffe"
2003,"May",3,1,0,0,3,1,1467,6,41,"Oxford Radcliffe"
2003,"Jun",7,1,1,0,0,0,1562,8,42,"Oxford Radcliffe"
2003,"Jul",10,3,0,0,0,0,1506,10,43,"Oxford Radcliffe"
2003,"Aug",7,5,0,0,1,1,1530,8,44,"Oxford Radcliffe"
2003,"Sep",4,2,0,0,0,0,1624,4,45,"Oxford Radcliffe"
2003,"Oct",9,5,0,0,0,0,1728,9,46,"Oxford Radcliffe"
2003,"Nov",1,0,0,0,0,0,1714,1,47,"Oxford Radcliffe"
2003,"Dec",2,0,0,0,5,5,1759,7,48,"Oxford Radcliffe"
2004,"Jan",6,5,0,0,2,2,1687,8,49,"Oxford Radcliffe"
2004,"Feb",5,5,1,1,3,2,1726,9,50,"Oxford Radcliffe"
2004,"Mar",6,3,1,1,2,0,1997,9,51,"Oxford Radcliffe"
2004,"Apr",2,1,0,0,0,0,1949,2,52,"Oxford Radcliffe"
2004,"May",5,2,0,0,0,0,2178,5,53,"Oxford Radcliffe"
2004,"Jun",4,1,0,0,1,1,2048,5,54,"Oxford Radcliffe"
2004,"Jul",5,4,0,0,1,1,2099,6,55,"Oxford Radcliffe"
2004,"Aug",5,4,0,0,1,1,1996,6,56,"Oxford Radcliffe"
2004,"Sep",7,4,1,1,0,0,2112,8,57,"Oxford Radcliffe"
2004,"Oct",5,2,0,0,1,0,2093,6,58,"Oxford Radcliffe"
2004,"Nov",3,3,0,0,0,0,1961,3,59,"Oxford Radcliffe"
2004,"Dec",7,2,1,1,1,1,1974,9,60,"Oxford Radcliffe"
2005,"Jan",8,4,0,0,1,1,2118,9,61,"Oxford Radcliffe"
2005,"Feb",5,1,1,0,1,1,1966,7,62,"Oxford Radcliffe"
2005,"Mar",4,2,1,0,0,0,2099,5,63,"Oxford Radcliffe"
2005,"Apr",5,1,0,0,2,1,2110,7,64,"Oxford Radcliffe"
2005,"May",5,2,0,0,0,0,2204,5,65,"Oxford Radcliffe"
2005,"Jun",8,4,1,1,0,0,2094,9,66,"Oxford Radcliffe"
2005,"Jul",2,1,1,1,0,0,2194,3,67,"Oxford Radcliffe"
2005,"Aug",7,4,0,0,1,1,2039,8,68,"Oxford Radcliffe"
2005,"Sep",8,3,0,0,0,0,1949,8,69,"Oxford Radcliffe"
2005,"Oct",5,1,0,0,0,0,2261,5,70,"Oxford Radcliffe"
2005,"Nov",6,2,0,0,1,0,1961,7,71,"Oxford Radcliffe"
2005,"Dec",6,3,0,0,0,0,2207,6,72,"Oxford Radcliffe"
2006,"Jan",6,2,1,0,0,0,2111,7,73,"Oxford Radcliffe"
2006,"Feb",2,1,0,0,3,1,1947,5,74,"Oxford Radcliffe"
2006,"Mar",6,3,1,0,2,1,2117,9,75,"Oxford Radcliffe"
2006,"Apr",5,2,2,0,0,0,1940,7,76,"Oxford Radcliffe"
2006,"May",4,2,0,0,1,1,1976,5,77,"Oxford Radcliffe"
2006,"Jun",5,2,0,0,0,0,2010,5,78,"Oxford Radcliffe"
2006,"Jul",6,1,0,0,1,1,2159,7,79,"Oxford Radcliffe"
2006,"Aug",5,4,1,1,1,1,2020,7,80,"Oxford Radcliffe"
2006,"Sep",8,6,2,1,0,0,2034,10,81,"Oxford Radcliffe"
2006,"Oct",9,7,1,0,0,0,2041,10,82,"Oxford Radcliffe"
2006,"Nov",5,5,0,0,0,0,2085,5,83,"Oxford Radcliffe"
2006,"Dec",5,4,0,0,0,0,2192,5,84,"Oxford Radcliffe"
2007,"Jan",2,1,0,0,0,0,2252,2,85,"Oxford Radcliffe"
2007,"Feb",8,2,1,1,0,0,2061,9,86,"Oxford Radcliffe"
2007,"Mar",6,3,0,0,0,0,2306,6,87,"Oxford Radcliffe"
2007,"Apr",5,4,0,0,0,0,2184,5,88,"Oxford Radcliffe"
2007,"May",7,6,1,0,0,0,2246,8,89,"Oxford Radcliffe"
2007,"Jun",6,4,0,0,0,0,2226,6,90,"Oxford Radcliffe"
2007,"Jul",6,6,0,0,1,1,2271,7,91,"Oxford Radcliffe"
